hour,post_count,avg_s_score,avg_class_prob,class_0_count,class_1_count,class_2_count,class_3_count,class_4_count
2020-10-25 00:00:00+00:00,4,0.029175000000000006,1.5,3,1,0,0,0
2020-10-25 01:00:00+00:00,4,0.311425,1.25,3,1,0,0,0
2020-10-25 02:00:00+00:00,2,-0.31245,1.5,2,0,0,0,0
2020-10-25 03:00:00+00:00,2,-0.263,1.0,1,1,0,0,0
2020-10-25 04:00:00+00:00,1,0.7845,2.0,1,0,0,0,0
2020-10-25 05:00:00+00:00,1,-0.6486,2.0,1,0,0,0,0
2020-10-25 07:00:00+00:00,2,-0.49429999999999996,1.0,2,0,0,0,0
2020-10-25 08:00:00+00:00,1,-0.6486,0.0,1,0,0,0,0
2020-10-25 09:00:00+00:00,1,0.7783,4.0,1,0,0,0,0
2020-10-25 12:00:00+00:00,4,0.292225,0.75,3,1,0,0,0
2020-10-25 13:00:00+00:00,4,0.008050000000000002,3.25,2,2,0,0,0
2020-10-25 14:00:00+00:00,2,0.60015,1.5,2,0,0,0,0
2020-10-25 15:00:00+00:00,2,-0.5233,1.5,1,1,0,0,0
2020-10-25 16:00:00+00:00,4,-0.10640000000000001,1.5,1,3,0,0,0
2020-10-25 17:00:00+00:00,7,-0.43305714285714286,2.5714285714285716,1,5,0,0,1
2020-10-25 18:00:00+00:00,11,-0.1284,1.1818181818181819,6,4,0,0,1
2020-10-25 19:00:00+00:00,3,-0.6375666666666667,1.3333333333333333,2,1,0,0,0
2020-10-25 20:00:00+00:00,15,-0.027313333333333332,2.066666666666667,12,3,0,0,0
2020-10-25 21:00:00+00:00,4,-0.471925,1.0,3,1,0,0,0
2020-10-25 22:00:00+00:00,8,-0.04378749999999999,2.25,6,1,0,1,0
2020-10-25 23:00:00+00:00,2,0.0822,2.5,0,1,1,0,0
2020-10-26 00:00:00+00:00,6,-0.36073333333333335,1.6666666666666667,5,0,0,0,1
2020-10-26 01:00:00+00:00,5,0.03159999999999998,2.2,4,1,0,0,0
2020-10-26 02:00:00+00:00,3,-0.08166666666666667,2.6666666666666665,2,1,0,0,0
2020-10-26 03:00:00+00:00,3,0.15576666666666666,2.0,3,0,0,0,0
2020-10-26 04:00:00+00:00,3,-0.11456666666666666,0.0,2,1,0,0,0
2020-10-26 05:00:00+00:00,3,0.27813333333333334,1.6666666666666667,3,0,0,0,0
2020-10-26 07:00:00+00:00,1,-0.5994,3.0,1,0,0,0,0
2020-10-26 08:00:00+00:00,1,-0.6652,3.0,0,1,0,0,0
2020-10-26 10:00:00+00:00,6,-0.36611666666666665,1.6666666666666667,1,5,0,0,0
2020-10-26 11:00:00+00:00,9,-0.31916666666666665,1.5555555555555556,0,9,0,0,0
2020-10-26 12:00:00+00:00,18,-0.42597222222222225,2.0555555555555554,3,14,0,0,1
2020-10-26 13:00:00+00:00,16,-0.27840625,2.8125,4,11,0,0,1
2020-10-26 14:00:00+00:00,20,-0.289175,2.2,12,7,0,1,0
2020-10-26 15:00:00+00:00,5,-0.020739999999999998,1.6,5,0,0,0,0
2020-10-26 16:00:00+00:00,18,-0.20891666666666667,2.2777777777777777,5,10,1,0,2
2020-10-26 17:00:00+00:00,22,-0.21899545454545455,1.7727272727272727,10,12,0,0,0
2020-10-26 18:00:00+00:00,18,-0.10608888888888889,2.2222222222222223,11,6,0,0,1
2020-10-26 19:00:00+00:00,15,-0.37226,1.6666666666666667,3,11,0,0,1
2020-10-26 20:00:00+00:00,27,-0.1555037037037037,2.0,8,16,0,1,2
2020-10-26 21:00:00+00:00,16,-0.298375,2.0625,3,10,0,0,3
2020-10-26 22:00:00+00:00,5,0.03014,1.2,2,3,0,0,0
2020-10-26 23:00:00+00:00,13,-0.2551,1.6153846153846154,1,12,0,0,0
2020-10-27 00:00:00+00:00,24,-0.2175,1.4166666666666667,5,19,0,0,0
2020-10-27 01:00:00+00:00,16,-0.32208749999999997,2.1875,4,10,0,0,2
2020-10-27 02:00:00+00:00,5,-0.50762,2.6,2,2,1,0,0
2020-10-27 03:00:00+00:00,5,0.013419999999999998,2.4,4,1,0,0,0
2020-10-27 04:00:00+00:00,1,0.0,0.0,1,0,0,0,0
2020-10-27 07:00:00+00:00,1,0.5859,3.0,1,0,0,0,0
2020-10-27 09:00:00+00:00,5,-0.11156000000000002,2.2,4,1,0,0,0
2020-10-27 10:00:00+00:00,17,-0.3533470588235294,2.823529411764706,1,12,1,0,3
2020-10-27 11:00:00+00:00,18,-0.2718055555555556,2.388888888888889,3,12,0,0,3
2020-10-27 12:00:00+00:00,15,-0.19965333333333335,2.2666666666666666,5,9,0,0,1
2020-10-27 13:00:00+00:00,19,-0.1990684210526316,2.1052631578947367,11,8,0,0,0
2020-10-27 14:00:00+00:00,13,-0.16032307692307693,1.9230769230769231,3,10,0,0,0
2020-10-27 15:00:00+00:00,9,-0.16299999999999998,2.111111111111111,4,5,0,0,0
2020-10-27 16:00:00+00:00,18,-0.17759444444444444,1.9444444444444444,7,10,0,1,0
2020-10-27 17:00:00+00:00,22,-0.2286681818181818,2.227272727272727,8,12,1,1,0
2020-10-27 18:00:00+00:00,14,-0.13827857142857145,1.4285714285714286,6,7,0,1,0
2020-10-27 19:00:00+00:00,10,-0.45167,2.3,2,8,0,0,0
2020-10-27 20:00:00+00:00,14,-0.14645714285714284,2.5,5,7,0,0,2
2020-10-27 21:00:00+00:00,11,-0.10514545454545456,2.5454545454545454,2,6,0,2,1
2020-10-27 22:00:00+00:00,8,-0.1126875,1.375,2,5,1,0,0
2020-10-27 23:00:00+00:00,9,-0.15124444444444443,2.4444444444444446,5,3,1,0,0
2020-10-28 00:00:00+00:00,12,-0.4770083333333333,2.25,0,9,0,0,3
2020-10-28 01:00:00+00:00,9,-0.3063444444444444,2.4444444444444446,3,6,0,0,0
2020-10-28 02:00:00+00:00,7,-0.25802857142857144,1.0,7,0,0,0,0
2020-10-28 03:00:00+00:00,2,0.28595,2.0,2,0,0,0,0
2020-10-28 04:00:00+00:00,7,-0.3358285714285714,1.4285714285714286,6,0,0,1,0
2020-10-28 05:00:00+00:00,1,0.8957,3.0,1,0,0,0,0
2020-10-28 07:00:00+00:00,2,-0.46729999999999994,1.5,2,0,0,0,0
2020-10-28 08:00:00+00:00,1,0.296,3.0,0,1,0,0,0
2020-10-28 10:00:00+00:00,7,-0.05918571428571429,2.2857142857142856,1,5,0,0,1
2020-10-28 11:00:00+00:00,6,-0.49343333333333333,2.0,2,4,0,0,0
2020-10-28 12:00:00+00:00,7,-0.2672,2.0,2,5,0,0,0
2020-10-28 13:00:00+00:00,17,-0.3985764705882353,1.5294117647058822,4,13,0,0,0
2020-10-28 14:00:00+00:00,8,-0.5571875,2.0,2,5,1,0,0
2020-10-28 15:00:00+00:00,8,-0.3376375,2.625,3,4,0,0,1
2020-10-28 16:00:00+00:00,7,-0.4259428571428572,3.0,1,3,1,0,2
2020-10-28 17:00:00+00:00,4,-0.474275,2.75,1,2,0,0,1
2020-10-28 18:00:00+00:00,23,-0.32714782608695653,1.391304347826087,5,16,0,1,1
2020-10-28 19:00:00+00:00,17,-0.14383529411764706,1.8823529411764706,5,12,0,0,0
2020-10-28 20:00:00+00:00,24,-0.3830708333333333,1.6666666666666667,10,12,0,0,2
2020-10-28 21:00:00+00:00,19,-0.24807894736842104,2.3684210526315788,5,10,0,1,3
2020-10-28 22:00:00+00:00,18,-0.30125555555555555,2.4444444444444446,4,10,0,1,3
2020-10-28 23:00:00+00:00,11,-0.42406363636363636,2.6363636363636362,2,8,0,0,1
2020-10-29 00:00:00+00:00,8,-0.07167499999999999,1.625,3,4,1,0,0
2020-10-29 01:00:00+00:00,6,-0.39376666666666665,2.5,3,3,0,0,0
2020-10-29 02:00:00+00:00,5,-0.38566,2.2,4,1,0,0,0
2020-10-29 03:00:00+00:00,2,-0.4577,1.0,2,0,0,0,0
2020-10-29 04:00:00+00:00,1,-0.6801,0.0,1,0,0,0,0
2020-10-29 06:00:00+00:00,2,-0.7618,1.5,2,0,0,0,0
2020-10-29 07:00:00+00:00,1,0.0,0.0,1,0,0,0,0
2020-10-29 10:00:00+00:00,7,-0.4608,1.7142857142857142,2,5,0,0,0
2020-10-29 11:00:00+00:00,5,-0.30108,2.2,0,5,0,0,0
2020-10-29 12:00:00+00:00,6,-0.4288666666666667,2.3333333333333335,1,3,0,0,2
2020-10-29 13:00:00+00:00,10,-0.42044,2.2,6,4,0,0,0
2020-10-29 14:00:00+00:00,9,-0.3364111111111111,1.6666666666666667,2,7,0,0,0
2020-10-29 15:00:00+00:00,11,-0.22571818181818182,1.8181818181818181,5,5,1,0,0
2020-10-29 16:00:00+00:00,5,0.04682000000000001,2.2,3,2,0,0,0
2020-10-29 17:00:00+00:00,4,-0.44515,2.25,3,1,0,0,0
2020-10-29 18:00:00+00:00,4,0.007099999999999995,1.75,3,1,0,0,0
2020-10-29 19:00:00+00:00,6,-0.5190833333333333,2.0,1,4,1,0,0
2020-10-29 20:00:00+00:00,15,-0.27512000000000003,2.3333333333333335,6,9,0,0,0
2020-10-29 21:00:00+00:00,8,-0.115925,1.875,3,5,0,0,0
2020-10-29 22:00:00+00:00,14,-0.4692214285714286,1.7857142857142858,2,10,0,0,2
2020-10-29 23:00:00+00:00,12,-0.32915833333333333,2.0833333333333335,1,9,0,0,2
2020-10-30 00:00:00+00:00,16,-0.3375625,2.125,4,10,0,0,2
2020-10-30 01:00:00+00:00,5,-0.38008,1.6,2,3,0,0,0
2020-10-30 02:00:00+00:00,3,-0.7043333333333334,0.6666666666666666,3,0,0,0,0
2020-10-30 03:00:00+00:00,4,-0.42605000000000004,1.5,3,1,0,0,0
2020-10-30 04:00:00+00:00,2,-0.57395,0.5,2,0,0,0,0
2020-10-30 06:00:00+00:00,1,-0.5423,0.0,1,0,0,0,0
2020-10-30 08:00:00+00:00,1,-0.1901,2.0,1,0,0,0,0
2020-10-30 10:00:00+00:00,2,-0.05904999999999999,2.5,1,0,0,1,0
2020-10-30 12:00:00+00:00,7,-0.4934142857142857,2.4285714285714284,3,2,0,0,2
2020-10-30 13:00:00+00:00,10,-0.049139999999999996,1.6,4,4,1,1,0
2020-10-30 14:00:00+00:00,8,-0.2966,2.0,4,3,0,0,1
2020-10-30 15:00:00+00:00,8,0.049537500000000026,2.0,4,4,0,0,0
2020-10-30 16:00:00+00:00,2,-0.4007,3.0,2,0,0,0,0
2020-10-30 17:00:00+00:00,5,-0.09786000000000002,2.6,2,3,0,0,0
2020-10-30 18:00:00+00:00,3,-0.29873333333333335,3.0,2,1,0,0,0
2020-10-30 19:00:00+00:00,9,-0.523988888888889,1.8888888888888888,1,8,0,0,0
2020-10-30 20:00:00+00:00,25,-0.42662799999999995,1.56,5,18,2,0,0
2020-10-30 21:00:00+00:00,13,-0.3169,2.230769230769231,5,8,0,0,0
2020-10-30 22:00:00+00:00,6,-0.34526666666666667,1.8333333333333333,3,3,0,0,0
2020-10-30 23:00:00+00:00,20,-0.36079500000000003,1.95,5,13,0,0,2
